journey_id,slice_id,slice_order,slice_name,canonical_dossier,execution_task_id,status,depends_on,exit_gate,evidence_sha
J001,J001-SL-01,1,Product Truth والنتيجة والثوابت,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J001.md,TASK-0015,BLOCKED_BY_FOUNDATION,FOUNDATION-00,ZERO_APPLICABLE_OPEN_GAPS_AND_SAME_SHA_EVIDENCE,
J001,J001-SL-02,2,Actors وهويات الخدمات,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J001.md,TASK-0015,BLOCKED_BY_FOUNDATION,J001-SL-01,ZERO_APPLICABLE_OPEN_GAPS_AND_SAME_SHA_EVIDENCE,
J001,J001-SL-03,3,التبعيات وشروط الدخول والخروج,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J001.md,TASK-0015,BLOCKED_BY_FOUNDATION,J001-SL-02,ZERO_APPLICABLE_OPEN_GAPS_AND_SAME_SHA_EVIDENCE,
J001,J001-SL-04,4,Identity/session/device,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J001.md,TASK-0015,BLOCKED_BY_FOUNDATION,J001-SL-03,ZERO_APPLICABLE_OPEN_GAPS_AND_SAME_SHA_EVIDENCE,
J001,J001-SL-05,5,Permission/trusted scope/object authorization,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J001.md,TASK-0015,BLOCKED_BY_FOUNDATION,J001-SL-04,ZERO_APPLICABLE_OPEN_GAPS_AND_SAME_SHA_EVIDENCE,
J001,J001-SL-06,6,Entrypoints/routes/deep links/navigation,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J001.md,TASK-0015,BLOCKED_BY_FOUNDATION,J001-SL-05,ZERO_APPLICABLE_OPEN_GAPS_AND_SAME_SHA_EVIDENCE,
J001,J001-SL-07,7,Screens/pages/tabs/buttons/icons/forms,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J001.md,TASK-0015,BLOCKED_BY_FOUNDATION,J001-SL-06,ZERO_APPLICABLE_OPEN_GAPS_AND_SAME_SHA_EVIDENCE,
J001,J001-SL-08,8,Shared brain/view model/visible states,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J001.md,TASK-0015,BLOCKED_BY_FOUNDATION,J001-SL-07,ZERO_APPLICABLE_OPEN_GAPS_AND_SAME_SHA_EVIDENCE,
J001,J001-SL-09,9,OpenAPI/error/security/idempotency,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J001.md,TASK-0015,BLOCKED_BY_FOUNDATION,J001-SL-08,ZERO_APPLICABLE_OPEN_GAPS_AND_SAME_SHA_EVIDENCE,
J001,J001-SL-10,10,Generated clients/transports,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J001.md,TASK-0015,BLOCKED_BY_FOUNDATION,J001-SL-09,ZERO_APPLICABLE_OPEN_GAPS_AND_SAME_SHA_EVIDENCE,
J001,J001-SL-11,11,Backend handler/domain/repository,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J001.md,TASK-0015,BLOCKED_BY_FOUNDATION,J001-SL-10,ZERO_APPLICABLE_OPEN_GAPS_AND_SAME_SHA_EVIDENCE,
J001,J001-SL-12,12,State machine/allowed actions,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J001.md,TASK-0015,BLOCKED_BY_FOUNDATION,J001-SL-11,ZERO_APPLICABLE_OPEN_GAPS_AND_SAME_SHA_EVIDENCE,
J001,J001-SL-13,13,Database/migrations/constraints/indexes,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J001.md,TASK-0015,BLOCKED_BY_FOUNDATION,J001-SL-12,ZERO_APPLICABLE_OPEN_GAPS_AND_SAME_SHA_EVIDENCE,
J001,J001-SL-14,14,Events/outbox/inbox/jobs/DLQ,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J001.md,TASK-0015,BLOCKED_BY_FOUNDATION,J001-SL-13,ZERO_APPLICABLE_OPEN_GAPS_AND_SAME_SHA_EVIDENCE,
J001,J001-SL-15,15,Media/providers/cache/search,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J001.md,TASK-0015,BLOCKED_BY_FOUNDATION,J001-SL-14,ZERO_APPLICABLE_OPEN_GAPS_AND_SAME_SHA_EVIDENCE,
J001,J001-SL-16,16,DSH↔WLT financial boundary,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J001.md,TASK-0015,BLOCKED_BY_FOUNDATION,J001-SL-15,ZERO_APPLICABLE_OPEN_GAPS_AND_SAME_SHA_EVIDENCE,
J001,J001-SL-17,17,Concurrency/idempotency/unknown result,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J001.md,TASK-0015,BLOCKED_BY_FOUNDATION,J001-SL-16,ZERO_APPLICABLE_OPEN_GAPS_AND_SAME_SHA_EVIDENCE,
J001,J001-SL-18,18,Offline/retry/recovery,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J001.md,TASK-0015,BLOCKED_BY_FOUNDATION,J001-SL-17,ZERO_APPLICABLE_OPEN_GAPS_AND_SAME_SHA_EVIDENCE,
